ScenarioA_ID	ProvinceName	ProvinceCode	ScenarioB_ID	Type	车辆型号	GHGs	Unit
1	Anhui	340000	1	BEV_01	JX1044TGA2BEV	0.369130088	kg/km
1	Anhui	340000	2	BEV_02	SQR5034XXYBEVH36	0.368445267	kg/km
1	Anhui	340000	3	BEV_03	ZZ5077XXYG3314Z173BEV	0.369659872	kg/km
1	Anhui	340000	4	BEV_04	BYD5041XXYBEV2	0.369527743	kg/km
1	Anhui	340000	5	BEV_05	ZZ3188K17ZBEV0	0.372810473	kg/km
1	Anhui	340000	6	BEV_06	LZ4180H5AZBEV2	0.372803748	kg/km
1	Anhui	340000	7	BEV_07	ZZ3318W60ZBEV1	0.379136176	kg/km
1	Anhui	340000	8	BEV_08	HN4252H41C8BEVY	0.373997658	kg/km
1	Anhui	340000	9	BEV_09	SYM5316GJB2BEV	0.376983919	kg/km
1	Anhui	340000	10	BEV_10	CA4250P66T1BEVA10	0.373310785	kg/km
1	Anhui	340000	11	HFCV_01	BJ5045XLCFCEV3	0.280227162	kg/km
1	Anhui	340000	12	HFCV_02	CA5045XLCP40L2FCEVA84	0.280482854	kg/km
1	Anhui	340000	13	HFCV_03	QL5080XXYFCEVERKA	0.281228922	kg/km
1	Anhui	340000	14	HFCV_04	CA5181XYKP62L5FCEVA1	0.28179817	kg/km
1	Anhui	340000	15	HFCV_05	HN4180H36D5FCEVY	0.285726611	kg/km
1	Anhui	340000	16	HFCV_06	HQK5180XYKGFCEVA	0.286528239	kg/km
1	Anhui	340000	17	HFCV_07	CA4250P66T1FCEVA3	0.286200216	kg/km
1	Anhui	340000	18	HFCV_08	DFD4250GLFCEV2	0.287198797	kg/km
1	Anhui	340000	19	HFCV_09	SYM3313ZZX2FCEV	0.289392909	kg/km
1	Anhui	340000	20	HFCV_10	CA4250P66T1BEVA10	0.307315205	kg/km
2	Beijing	110000	1	BEV_01	JX1044TGA2BEV	0.361929227	kg/km
2	Beijing	110000	2	BEV_02	SQR5034XXYBEVH36	0.361260508	kg/km
2	Beijing	110000	3	BEV_03	ZZ5077XXYG3314Z173BEV	0.362446555	kg/km
2	Beijing	110000	4	BEV_04	BYD5041XXYBEV2	0.362317533	kg/km
2	Beijing	110000	5	BEV_05	ZZ3188K17ZBEV0	0.365523078	kg/km
2	Beijing	110000	6	BEV_06	LZ4180H5AZBEV2	0.365516511	kg/km
2	Beijing	110000	7	BEV_07	ZZ3318W60ZBEV1	0.371700051	kg/km
2	Beijing	110000	8	BEV_08	HN4252H41C8BEVY	0.366682351	kg/km
2	Beijing	110000	9	BEV_09	SYM5316GJB2BEV	0.369598398	kg/km
2	Beijing	110000	10	BEV_10	CA4250P66T1BEVA10	0.366011627	kg/km
2	Beijing	110000	11	HFCV_01	BJ5045XLCFCEV3	0.278437926	kg/km
2	Beijing	110000	12	HFCV_02	CA5045XLCP40L2FCEVA84	0.278687606	kg/km
2	Beijing	110000	13	HFCV_03	QL5080XXYFCEVERKA	0.279416132	kg/km
2	Beijing	110000	14	HFCV_04	CA5181XYKP62L5FCEVA1	0.279971996	kg/km
2	Beijing	110000	15	HFCV_05	HN4180H36D5FCEVY	0.283808071	kg/km
2	Beijing	110000	16	HFCV_06	HQK5180XYKGFCEVA	0.284590851	kg/km
2	Beijing	110000	17	HFCV_07	CA4250P66T1FCEVA3	0.284270541	kg/km
2	Beijing	110000	18	HFCV_08	DFD4250GLFCEV2	0.285245643	kg/km
2	Beijing	110000	19	HFCV_09	SYM3313ZZX2FCEV	0.287388167	kg/km
2	Beijing	110000	20	HFCV_10	CA4250P66T1BEVA10	0.304889073	kg/km
3	Chongqing	500000	1	BEV_01	JX1044TGA2BEV	0.364204251	kg/km
3	Chongqing	500000	2	BEV_02	SQR5034XXYBEVH36	0.363530445	kg/km
3	Chongqing	500000	3	BEV_03	ZZ5077XXYG3314Z173BEV	0.364725515	kg/km
3	Chongqing	500000	4	BEV_04	BYD5041XXYBEV2	0.364595511	kg/km
3	Chongqing	500000	5	BEV_05	ZZ3188K17ZBEV0	0.367825442	kg/km
3	Chongqing	500000	6	BEV_06	LZ4180H5AZBEV2	0.367818825	kg/km
3	Chongqing	500000	7	BEV_07	ZZ3318W60ZBEV1	0.374049404	kg/km
3	Chongqing	500000	8	BEV_08	HN4252H41C8BEVY	0.368993533	kg/km
3	Chongqing	500000	9	BEV_09	SYM5316GJB2BEV	0.371931764	kg/km
3	Chongqing	500000	10	BEV_10	CA4250P66T1BEVA10	0.368317707	kg/km
3	Chongqing	500000	11	HFCV_01	BJ5045XLCFCEV3	0.279003213	kg/km
3	Chongqing	500000	12	HFCV_02	CA5045XLCP40L2FCEVA84	0.279254793	kg/km
3	Chongqing	500000	13	HFCV_03	QL5080XXYFCEVERKA	0.279988861	kg/km
3	Chongqing	500000	14	HFCV_04	CA5181XYKP62L5FCEVA1	0.280548954	kg/km
