CityCode	Time	Cost	Unit1
340800	1	0.4114	Yuan/kWh
340800	2	0.4114	Yuan/kWh
340800	3	0.4114	Yuan/kWh
340800	4	0.4114	Yuan/kWh
340800	5	0.4114	Yuan/kWh
340800	6	0.4114	Yuan/kWh
340800	7	0.4114	Yuan/kWh
340800	8	0.4114	Yuan/kWh
340800	9	0.4114	Yuan/kWh
340800	10	0.66	Yuan/kWh
340800	11	0.66	Yuan/kWh
340800	12	0.66	Yuan/kWh
340800	13	0.66	Yuan/kWh
340800	14	0.66	Yuan/kWh
340800	15	0.66	Yuan/kWh
340800	16	0.66	Yuan/kWh
340800	17	1.0541	Yuan/kWh
340800	18	1.0541	Yuan/kWh
340800	19	1.0541	Yuan/kWh
340800	20	1.0541	Yuan/kWh
340800	21	1.0541	Yuan/kWh
340800	22	1.0541	Yuan/kWh
340800	23	1.0541	Yuan/kWh
340800	24	1.0541	Yuan/kWh
340300	1	0.4114	Yuan/kWh
340300	2	0.4114	Yuan/kWh
340300	3	0.4114	Yuan/kWh
340300	4	0.4114	Yuan/kWh
340300	5	0.4114	Yuan/kWh
340300	6	0.4114	Yuan/kWh
340300	7	0.4114	Yuan/kWh
340300	8	0.4114	Yuan/kWh
340300	9	0.4114	Yuan/kWh
340300	10	0.66	Yuan/kWh
340300	11	0.66	Yuan/kWh
340300	12	0.66	Yuan/kWh
340300	13	0.66	Yuan/kWh
340300	14	0.66	Yuan/kWh
340300	15	0.66	Yuan/kWh
340300	16	0.66	Yuan/kWh
340300	17	1.0541	Yuan/kWh
340300	18	1.0541	Yuan/kWh
340300	19	1.0541	Yuan/kWh
340300	20	1.0541	Yuan/kWh
340300	21	1.0541	Yuan/kWh
340300	22	1.0541	Yuan/kWh
340300	23	1.0541	Yuan/kWh
340300	24	1.0541	Yuan/kWh
341600	1	0.4114	Yuan/kWh
341600	2	0.4114	Yuan/kWh
341600	3	0.4114	Yuan/kWh
341600	4	0.4114	Yuan/kWh
341600	5	0.4114	Yuan/kWh
341600	6	0.4114	Yuan/kWh
341600	7	0.4114	Yuan/kWh
341600	8	0.4114	Yuan/kWh
341600	9	0.4114	Yuan/kWh
341600	10	0.66	Yuan/kWh
341600	11	0.66	Yuan/kWh
341600	12	0.66	Yuan/kWh
341600	13	0.66	Yuan/kWh
341600	14	0.66	Yuan/kWh
341600	15	0.66	Yuan/kWh
341600	16	0.66	Yuan/kWh
341600	17	1.0541	Yuan/kWh
341600	18	1.0541	Yuan/kWh
341600	19	1.0541	Yuan/kWh
341600	20	1.0541	Yuan/kWh
341600	21	1.0541	Yuan/kWh
341600	22	1.0541	Yuan/kWh
341600	23	1.0541	Yuan/kWh
341600	24	1.0541	Yuan/kWh
341700	1	0.4114	Yuan/kWh
341700	2	0.4114	Yuan/kWh
341700	3	0.4114	Yuan/kWh
341700	4	0.4114	Yuan/kWh
341700	5	0.4114	Yuan/kWh
341700	6	0.4114	Yuan/kWh
341700	7	0.4114	Yuan/kWh
341700	8	0.4114	Yuan/kWh
341700	9	0.4114	Yuan/kWh
341700	10	0.66	Yuan/kWh
341700	11	0.66	Yuan/kWh
341700	12	0.66	Yuan/kWh
341700	13	0.66	Yuan/kWh
341700	14	0.66	Yuan/kWh
341700	15	0.66	Yuan/kWh
341700	16	0.66	Yuan/kWh
341700	17	1.0541	Yuan/kWh
341700	18	1.0541	Yuan/kWh
341700	19	1.0541	Yuan/kWh
341700	20	1.0541	Yuan/kWh
341700	21	1.0541	Yuan/kWh
341700	22	1.0541	Yuan/kWh
341700	23	1.0541	Yuan/kWh
341700	24	1.0541	Yuan/kWh
341100	1	0.4114	Yuan/kWh
341100	2	0.4114	Yuan/kWh
341100	3	0.4114	Yuan/kWh
341100	4	0.4114	Yuan/kWh
341100	5	0.4114	Yuan/kWh
341100	6	0.4114	Yuan/kWh
341100	7	0.4114	Yuan/kWh
341100	8	0.4114	Yuan/kWh
341100	9	0.4114	Yuan/kWh
341100	10	0.66	Yuan/kWh
341100	11	0.66	Yuan/kWh
341100	12	0.66	Yuan/kWh
341100	13	0.66	Yuan/kWh
341100	14	0.66	Yuan/kWh
341100	15	0.66	Yuan/kWh
341100	16	0.66	Yuan/kWh
341100	17	1.0541	Yuan/kWh
341100	18	1.0541	Yuan/kWh
341100	19	1.0541	Yuan/kWh
341100	20	1.0541	Yuan/kWh
341100	21	1.0541	Yuan/kWh
341100	22	1.0541	Yuan/kWh
341100	23	1.0541	Yuan/kWh
341100	24	1.0541	Yuan/kWh
